"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2014,0.25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,1,47,1,8,0.5,14.163515,1.11433483196536,3,52,0.25,0,0.25,20,34987.893314216,0.581548019729405,67,1,0.119328989665233,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5
"AU","AUS","Australia",2014,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,37,1,6,0.465,2.32037,1.41658992852871,4,18,0.245,0,0.27121,10,48730.6403375008,0.484352186885038,50,0,0.896235839368787,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2014,0.3399,0,100,0.882216122406083,0.622404878792567,0.869865253929667,1,1,1,20,1,8,0.59447155,1.009416,1.19485145145329,2,40,0,1,0.25,21,6319.04976005039,0.473521713334396,75,0.5,0.68087579649982,0,1,1,0,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",2014,0.262,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,45,1,4,0.495296,10.605125,1.20067371923594,3,36,0.225,0,0.338414,15.6,23453.725818895,0.474896538948074,50,0.5,1.98904384890277,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2014,0.21148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,0,15,2,10,0.41752888,3.325739,1.35719565991715,7,40,0,1,0.21135,8,63826.8268100133,0.698455383839677,8,1,0.0890439301542225,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5
"CL","CHL","Chile",2014,0.21,100,100,0.632611659769417,0.338474732816403,0,0.5,1,0,42,1,5,0.4,10.408629,1.16232674390651,1,124.5,0.2,0,0.24050633,19,0,0.635162131021544,124.5,1,0.530158774159162,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,25,0,0.5
"CZ","CZE","Czech Republic",2014,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,53,1,5,0.311,0.409393,1.13823596841137,2,75,0.15,1,0.15,21,67707.9535587165,0.584388568795991,102,1,0.121091479857848,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2014,0.2970721,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,41,2,6,0.47475,5.77971,1.10363967520792,1,134,0.25,0,0.26375,19,21297.5222109729,0.547669406184961,43,1,0.256348033466423,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1
"DK","DNK","Denmark",2014,0.245,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,27,3,6,0.55564,1.16303,1.27585324786518,1,65,0.42,0,0.42,25,5879.07638734969,0.574223848972526,40,0.5,0.847816116645812,0,1,0,0,0,0,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5
"EE","EST","Estonia",2014,0.21,100,100,1,1,1,1,0,0,20,1,7,0.2258,0.15036,1.05543707351151,0,34,0.21,0,0,20,25581.7765656457,0.697810319567046,27,0,0.194393896306958,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0.333333333333333,0
"ES","ESP","Spain",2014,0.3,0,18,0.695001856615886,0.291385530174685,0.278958448750364,0.5,1,1,33,1,7,0.52,11.728847,1.12006728288016,1,90,0.27,0,0.27,21,0,0.406427261455261,44,1,0.570050193085456,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.333333333333333,1
"FI","FIN","Finland",2014,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,21,1,4,0.56617293,2.535029,1.26725634525034,3,48,0.32,0,0.272,24,8589.47283647476,0.542992338271503,24,0.5,0.356022502925622,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.666666666666667,1
"FR","FRA","France",2014,0.379962,1,50,0.857738015451725,0.547953910556565,0.869865253929667,0.5,1,1,26,1,6,0.549345,15.274647,1.20541111655661,2,80,0.38,0,0.44001,20,93551.0876400815,0.481709458465818,31,1,1.53958637398369,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2014,0.21,1,100,0.758823529411765,0,0.826923076923077,0,1,1,32,1,6,0.47,4.274984,1.36956332821385,1,48,0.28,0,0.3055625,20,102850.559900547,0.43384941239917,25,0.5,2.37473839654365,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.666666666666667,0
"GR","GRC","Greece",2014,0.26,0,5,0.737888702767901,0.479318672008477,0.737888702767901,1,0,1,78,1,6,0.46,5.346351,1.18829995855791,1,46,0.23,0,0.1,23,6677.54959454146,0.369899975249352,69,1,0.838600763432924,0,1,1,0,1,0,1,0,1,0.25,0.15,0.2,55,0.333333333333333,0.5
"HU","HUN","Hungary",2014,0.19,0,50,0.816200383417959,0.278958448750364,0.869865253929667,0.5,1,1,35,2,8,0.345,0,1,2,146,0.16,0,0.16,27,42328.198651231,0.560282618365676,96,1,0.262176266222464,0,1,1,1,0,1,1,1,0,0,0,0,73,0.666666666666667,0.5
"IE","IRL","Ireland",2014,0.125,3,100,0.787075165170195,0.479318672008477,0.737888702767901,0,0,1,10,1,7,0.52,0.762399,1.46683007350051,1,40,0.33,0,0.51,23,78844.2561518391,0.484342527005503,30,0.5,0.555877336575621,0,1,1,0,0,0,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",2014,0.265,0,100,0.869865253929667,0.547953910556565,0.787075165170195,0.5,0,0,110,2,14,0.5,6.307592,1.82669666666845,12,60,0.27,1,0.32,18,18611.874917961,0.627506880135321,69,1,1.55129499532377,0,0,1,0,0,0,0,0,1,0.3,0.25,0.25,53,0.666666666666667,0
